Date,Open,High,Low,Close/Last,Volume
10-05-2016,$14.1493,$14.21,$13.8747,$13.8973,28086826
12-05-2016,$12.1673,$12.5927,$12.1673,$12.4533,61042169
01-06-2016,$14.6667,$14.67,$14.3987,$14.6027,56615267
04-06-2016,$16.9313,$17.8493,$16.8967,$17.6947,175436312
05-06-2016,$14.058,$14.4247,$13.874,$14.3287,85255082
06-06-2016,$14.5333,$14.7267,$14.3633,$14.712,33639493
07-06-2016,$14.00,$14.3487,$13.9333,$14.296,73654238
09-06-2016,$13.268,$13.55,$13.2667,$13.522,65792862
10-06-2016,$13.4973,$13.614,$13.3473,$13.40,70469020
12-06-2016,$12.368,$12.4387,$12.1788,$12.39,50840450
01-07-2016,$14.2793,$14.5627,$14.2447,$14.3767,53260533
03-07-2016,$13.1787,$13.98,$13.16,$13.686,79966415
04-07-2016,$17.7633,$17.956,$16.9673,$17.1467,132683439
06-07-2016,$14.816,$15.6293,$14.768,$15.4893,92912264
07-07-2016,$14.2067,$14.5413,$14.2007,$14.396,54050748
09-07-2016,$13.70,$13.7665,$13.3807,$13.4473,54568743
10-07-2016,$13.40,$13.4213,$13.0533,$13.1073,52342174
11-07-2016,$12.906,$12.9527,$12.67,$12.8807,57865201
12-07-2016,$12.41,$12.8933,$12.3333,$12.8767,81856024
01-08-2016,$14.524,$14.696,$14.0513,$14.0667,53585373
02-08-2016,$10.4737,$10.4767,$9.7333,$9.866,139601240
03-08-2016,$13.5667,$13.8333,$13.48,$13.5067,62632439
04-08-2016,$17.3667,$17.388,$16.5347,$16.6713,110290550
06-08-2016,$15.5867,$16.0563,$15.507,$15.7013,89476605
07-08-2016,$14.52,$14.654,$14.30,$14.452,61006934
08-08-2016,$15.20,$15.3067,$15.0727,$15.0773,33891958
09-08-2016,$13.3033,$13.326,$13.0907,$13.1573,50584370
11-08-2016,$12.9193,$13.166,$12.7507,$12.996,48793881
12-08-2016,$12.8033,$12.8333,$12.636,$12.8193,47905236
02-09-2016,$9.488,$10.6527,$9.4033,$9.8833,129594850
03-09-2016,$13.6347,$13.9582,$13.5193,$13.9147,48113931
05-09-2016,$14.3813,$14.41,$13.7867,$13.928,71594844
06-09-2016,$15.6653,$15.6887,$15.1373,$15.2907,66813297
08-09-2016,$15.1213,$15.4358,$15.11,$15.272,32996474
09-09-2016,$13.2727,$13.328,$12.9133,$12.9647,56305982
11-09-2016,$12.4583,$12.80,$12.2633,$12.6707,122496644
12-09-2016,$12.7247,$12.9224,$12.7207,$12.812,40814035
02-10-2016,$10.0333,$10.3313,$9.4493,$9.578,151570274
03-10-2016,$14.00,$14.2193,$13.3781,$13.6787,77873991
05-10-2016,$13.8367,$13.9647,$13.6667,$13.9127,61020764
06-10-2016,$15.1593,$15.198,$14.5615,$14.586,89918175
08-10-2016,$15.216,$15.3247,$14.9747,$15.0433,35047422
10-10-2016,$13.4233,$13.6093,$13.3107,$13.3967,49670075
11-10-2016,$12.7367,$12.774,$12.028,$12.3567,101194299
01-11-2016,$14.2673,$14.2967,$13.5333,$13.8567,61362614
02-11-2016,$10.1333,$10.884,$9.80,$10.0313,213553393
03-11-2016,$13.862,$13.9613,$13.6887,$13.8333,50087195
04-11-2016,$16.7333,$17.266,$16.3533,$16.6613,137345991
05-11-2016,$13.8393,$14.3653,$13.7367,$13.9307,77394561
07-11-2016,$14.664,$15.1187,$14.634,$14.9853,80535950
08-11-2016,$15.078,$15.1713,$14.894,$14.994,28154371
10-11-2016,$13.4567,$13.48,$13.2207,$13.34,34901293
11-11-2016,$12.2827,$12.592,$12.20,$12.5707,59806335
01-12-2016,$14.1067,$14.2493,$13.6873,$13.998,46185742
02-12-2016,$10.3333,$10.4673,$9.58,$10.0693,108498906
04-12-2016,$16.6333,$16.7867,$16.242,$16.5213,86330222
05-12-2016,$14.096,$14.1113,$13.5772,$13.8187,54751098
07-12-2016,$14.94,$15.1667,$14.8813,$14.9767,68608091
08-12-2016,$15.0273,$15.11,$14.936,$15.0407,27177736
09-12-2016,$13.00,$13.4246,$12.94,$13.22,55710707
10-12-2016,$13.3967,$13.592,$13.3613,$13.434,29536470
12-12-2016,$12.8533,$12.9613,$12.736,$12.8287,36546402
02-01-2017,$16.87,$16.88,$16.6033,$16.616,59296545
03-01-2017,$16.9453,$16.99,$16.6073,$16.668,72074409
05-01-2017,$20.992,$21.8167,$20.9873,$21.522,132298254
06-01-2017,$22.9333,$22.992,$22.486,$22.6913,114026403
08-01-2017,$21.5333,$21.63,$21.0753,$21.3047,124274893
09-01-2017,$23.7413,$23.8393,$23.5794,$23.6933,45728227
11-01-2017,$22.15,$22.1739,$21.3507,$21.4053,123637243
12-01-2017,$20.3627,$20.688,$20.3367,$20.4353,64291198
02-02-2017,$16.556,$16.828,$16.514,$16.77,37481966
03-02-2017,$16.6473,$16.8853,$16.5513,$16.6987,50186240
05-02-2017,$21.60,$21.844,$21.104,$21.2593,79748225
06-02-2017,$22.6513,$22.8587,$22.3953,$22.6567,83759238
08-02-2017,$21.2627,$21.808,$20.748,$21.726,179135160
10-02-2017,$22.8347,$22.9133,$22.3673,$22.7687,78413166
11-02-2017,$20.0087,$20.5793,$19.5087,$19.9507,296569052
01-03-2017,$14.324,$14.6887,$14.064,$14.466,88522366
02-03-2017,$16.794,$16.8119,$16.6453,$16.7553,32778434
03-03-2017,$16.716,$16.7933,$16.60,$16.7713,43882193
04-03-2017,$19.1267,$19.9333,$18.972,$19.9013,207972646
05-03-2017,$21.178,$21.4353,$20.6967,$20.7347,103188833
07-03-2017,$24.6827,$24.7567,$23.4333,$23.508,94580968
08-03-2017,$23.022,$23.3333,$22.8767,$23.1393,202863949
10-03-2017,$22.3933,$23.2367,$22.0853,$23.2093,151838174
11-03-2017,$19.9667,$20.4167,$19.6753,$20.406,133288928
01-04-2017,$14.3167,$15.20,$14.2873,$15.1327,168068316
04-04-2017,$19.7927,$20.3207,$19.6353,$20.2467,151623374
05-04-2017,$20.4957,$20.518,$19.384,$19.6973,212039744
08-04-2017,$23.1333,$23.818,$22.8867,$23.794,138499356
10-04-2017,$23.4167,$23.908,$23.3067,$23.6673,122219864
12-04-2017,$20.4333,$20.551,$20.0407,$20.3467,87513361
01-05-2017,$15.0947,$15.1653,$14.7967,$15.1167,88633861
04-05-2017,$20.136,$20.3253,$19.6133,$19.6667,117878416
05-05-2017,$19.8667,$20.57,$19.7867,$20.5567,121761674
06-05-2017,$22.5667,$23.2293,$22.2807,$23.1547,101537559
07-05-2017,$23.1467,$23.1493,$21.7553,$21.806,254974373
09-05-2017,$23.5867,$23.6993,$23.0593,$23.306,57546001
10-05-2017,$23.7333,$23.829,$23.4233,$23.6887,62518664
12-05-2017,$20.1333,$20.5333,$20.0667,$20.2467,69655585
01-06-2017,$15.1287,$15.354,$15.03,$15.2673,82862254
02-06-2017,$16.7333,$17.188,$16.7087,$17.1847,53363973
03-06-2017,$16.5273,$16.78,$16.5007,$16.7473,50303990
04-06-2017,$19.792,$20.1293,$19.6067,$19.9133,82765924
06-06-2017,$22.98,$23.9662,$22.6647,$23.5233,165478717
07-06-2017,$21.1507,$21.386,$20.42,$20.5887,288870456
09-06-2017,$23.30,$23.3986,$22.7707,$22.9687,61229984
10-06-2017,$23.54,$24.0066,$23.4833,$23.792,64092958
11-06-2017,$20.4667,$20.50,$19.934,$20.1853,97210286
12-06-2017,$20.0067,$20.8927,$20.00,$20.884,107767101
02-07-2017,$17.2127,$17.3333,$17.0947,$17.1653,63660913
03-07-2017,$16.7947,$16.926,$16.5547,$16.5727,51788779
04-07-2017,$19.8333,$20.1793,$19.81,$20.1693,68499446
06-07-2017,$23.756,$24.0333,$23.676,$23.9767,140230310
07-07-2017,$20.90,$21.1333,$20.492,$20.8813,211949144
08-07-2017,$23.8233,$23.9653,$23.5167,$23.678,94639918
09-07-2017,$23.0653,$23.4987,$22.8967,$23.374,63525643
11-07-2017,$20.068,$20.4333,$20.002,$20.4033,79272620
12-07-2017,$20.80,$21.2423,$20.7367,$20.7493,71693814
02-08-2017,$17.1567,$17.5573,$17.08,$17.472,58686391
03-08-2017,$16.4667,$16.6713,$16.3547,$16.458,55901162
05-08-2017,$20.7267,$20.9193,$20.388,$20.4793,105043552
06-08-2017,$24.25,$24.7933,$24.0147,$24.6667,135430087
08-08-2017,$23.8353,$24.572,$23.8267,$24.348,111477514
