Ticker,Close,High,Low,Open,Volume
Date,JPM,JPM,JPM,JPM,JPM
04-06-2015,,,,,
05-06-2015,50.40593338,50.95308147,50.1627571,50.3907316,13863300
08-06-2015,51.23426056,51.55342841,50.9226936,51.1962677,20801100
09-06-2015,50.83149719,51.3330516,50.77070166,51.26465519,14558700
10-06-2015,51.05186081,51.12025141,50.51231371,50.87707517,13263500
11-06-2015,51.87258911,52.05496986,51.27224643,51.3634339,17478900
12-06-2015,52.07015228,52.19174328,51.78898324,51.94856708,13739900
15-06-2015,51.86499405,52.08537347,51.57622401,51.91058779,11804700
16-06-2015,51.66740799,51.83459277,51.14306258,51.3558411,14082300
17-06-2015,51.95618439,52.07016874,51.38623943,51.50022378,11692800
18-06-2015,51.78139496,52.19175599,51.70540346,51.98657837,14521900
19-06-2015,52.26776505,52.29816281,51.59903154,51.94099629,16759600
22-06-2015,51.73580933,52.18416328,51.61421828,52.02457937,21606400
23-06-2015,52.4045372,52.65531437,52.24495331,52.33614659,14306700
24-06-2015,53.00487137,53.05806599,52.5793144,52.70089962,15736900
25-06-2015,52.45013428,53.02007926,52.36654768,52.82250251,16995000
26-06-2015,52.16896439,52.79210399,52.1613635,52.67811384,13314300
29-06-2015,52.39693832,52.65531639,52.2601513,52.38934323,14489200
30-06-2015,51.06706238,51.87258847,51.03667042,51.43182968,19934400
01-07-2015,51.49263,51.75860317,51.03667519,51.59141838,20677400
02-07-2015,52.06627274,52.31103829,51.84445304,52.10451972,13964400
06-07-2015,51.64560318,52.11218865,51.39319278,51.9745076,12822900
07-07-2015,51.50028229,51.59971634,50.8960157,51.1560767,13527100
08-07-2015,51.09489059,51.41614448,49.94755029,51.31670458,22421500
09-07-2015,50.04697037,50.60534506,49.8786929,50.48295933,17707200
10-07-2015,50.56710815,51.0183925,50.47531884,50.85776557,14984700
13-07-2015,51.28609848,51.55380997,51.11782102,51.41612894,12356100
14-07-2015,52.08158112,52.11982811,51.7679779,51.92860479,16175600
15-07-2015,52.8082428,52.85413454,51.82918015,51.99745763,20185100
16-07-2015,52.92299652,53.10656937,52.66292963,52.95359297,16891600
17-07-2015,53.20599747,53.50430551,53.09126809,53.25953979,18035700
20-07-2015,52.93827438,53.15244361,52.71645459,53.045359,14040700
21-07-2015,52.97651672,53.36660814,52.91532385,53.1600895,11512900
22-07-2015,52.85413742,53.19069241,52.67821519,52.900035,11659900
