Date,Open,High,Low,Close/Last,Volume
07-01-2015,$21.9675,$22.00,$21.779,$21.8695,39708180
09-01-2015,$24.957,$25.50,$24.6715,$24.827,77005240
10-01-2015,$25.55,$26.04,$25.30,$26.036,74883760
12-01-2015,$33.6875,$34.05,$33.393,$33.953,94953020
07-02-2015,$21.85,$21.91,$21.674,$21.8855,26838760
09-02-2015,$25.2545,$25.543,$24.886,$25.5275,73875960
10-02-2015,$25.6495,$26.63,$25.405,$26.627,91841900
11-02-2015,$31.3565,$31.4315,$31.0205,$31.4175,56226800
12-02-2015,$34.05,$34.241,$33.7125,$33.8005,85308080
08-03-2015,$26.8725,$27.022,$26.468,$26.7515,60091280
09-03-2015,$25.725,$25.792,$25.1285,$25.236,62866720
11-03-2015,$31.4765,$31.4945,$31.10,$31.2655,64892800
12-03-2015,$33.972,$34.1395,$33.074,$33.3125,101168560
06-04-2015,$21.72,$21.8378,$21.463,$21.539,50161260
08-04-2015,$26.4845,$26.8475,$26.4582,$26.595,58529240
09-04-2015,$24.8825,$25.1425,$24.782,$24.95,53740100
11-04-2015,$31.388,$32.2965,$31.3675,$32.0475,96729040
12-04-2015,$33.30,$33.7388,$33.07,$33.632,90648480
06-05-2015,$21.483,$21.54,$21.325,$21.3475,38109220
08-05-2015,$26.94,$26.957,$26.706,$26.8505,57753500
10-05-2015,$26.8495,$27.2955,$26.80,$27.184,67679340
11-05-2015,$32.355,$32.85,$32.1545,$32.7825,94439540
07-06-2015,$21.7615,$21.9865,$21.676,$21.802,38057780
08-06-2015,$26.965,$27.137,$26.376,$26.473,76289980
10-06-2015,$27.275,$27.575,$26.6665,$26.874,90833460
11-06-2015,$32.75,$33.113,$32.60,$32.9685,81762380
07-07-2015,$21.784,$21.8865,$21.2785,$21.836,69071140
08-07-2015,$26.458,$26.473,$25.9105,$26.131,79231940
10-07-2015,$27.0895,$27.10,$26.45,$27.097,76142040
12-07-2015,$33.737,$33.773,$33.025,$33.4915,74608800
06-08-2015,$21.281,$21.34,$21.0713,$21.175,43430500
