Date,Open,High,Low,Close/Last,Volume
07-01-2015,$94.8057,$95.2385,$93.2185,$93.6357,14671045
09-01-2015,$109.35,$111.24,$103.82,$105.79,35745230
10-01-2015,$102.91,$106.11,$101.12,$105.98,17393750
12-01-2015,$124.47,$125.57,$122.42,$125.37,12538210
07-02-2015,$93.9985,$94.1985,$93.2143,$94.0443,11046584
09-02-2015,$109.31,$109.50,$100.30,$105.44,39732710
10-02-2015,$103.01,$106.87,$101.45,$106.11,21492320
11-02-2015,$109.20,$109.37,$106.30,$107.64,11772660
12-02-2015,$125.53,$131.35,$124.93,$128.93,24063230
08-03-2015,$114.60,$114.60,$111.78,$112.56,10124570
09-03-2015,$102.69,$104.17,$100.11,$101.06,29291720
11-03-2015,$107.36,$111.05,$107.24,$109.74,12471030
12-03-2015,$129.62,$132.20,$126.39,$126.81,26604200
06-04-2015,$88.3785,$89.4285,$88.0428,$89.3485,9914551
08-04-2015,$113.15,$122.79,$113.00,$121.15,29546660
09-04-2015,$98.05,$99.928,$97.34,$98.79,24175260
11-04-2015,$110.36,$114.28,$109.39,$114.05,17221470
12-04-2015,$127.00,$130.99,$125.75,$130.93,20211300
06-05-2015,$89.2143,$90.54,$89.1257,$90.46,11607053
08-05-2015,$125.62,$129.29,$122.705,$123.71,26902730
10-05-2015,$107.48,$112.28,$105.76,$111.25,21136430
11-05-2015,$113.75,$115.68,$111.72,$113.50,13810900
07-06-2015,$93.4728,$94.9285,$93.34,$94.5714,11792449
08-06-2015,$126.29,$128.85,$122.04,$126.45,24659910
10-06-2015,$110.33,$112.25,$105.64,$108.33,20797800
11-06-2015,$113.39,$114.80,$112.05,$114.06,10930360
07-07-2015,$95.0128,$95.4271,$92.6228,$94.0914,21567594
08-07-2015,$126.42,$126.60,$121.30,$123.52,17340440
10-07-2015,$108.84,$109.78,$106.75,$108.10,12313850
12-07-2015,$131.19,$133.27,$122.75,$125.36,23317450
06-08-2015,$90.7143,$90.8157,$88.9957,$89.6043,11142365
07-08-2015,$93.4714,$93.9957,$92.2843,$93.5071,12980307
09-08-2015,$102.08,$102.50,$93.55,$94.95,43420420
10-08-2015,$107.94,$115.05,$102.60,$114.93,42642850
12-08-2015,$121.51,$128.24,$121.10,$126.98,18576050
06-09-2015,$89.3343,$92.7143,$89.3343,$92.45,21778624
07-09-2015,$94.90,$95.8457,$94.2857,$95.7271,16683280
09-09-2015,$96.51,$102.79,$95.52,$99.18,35433880
10-09-2015,$114.11,$115.83,$112.44,$113.33,22417220
11-09-2015,$113.36,$114.00,$108.64,$109.86,16139500
12-09-2015,$127.70,$128.78,$122.33,$124.20,17760240
06-10-2015,$93.3957,$98.97,$93.2257,$95.8714,57046958
07-10-2015,$97.5228,$98.5028,$96.90,$97.2285,21601306
08-10-2015,$126.09,$126.50,$121.51,$123.03,13395230
09-10-2015,$99.42,$100.85,$96.78,$99.48,21010380
11-10-2015,$108.86,$112.84,$108.01,$112.70,11158460
12-10-2015,$124.50,$125.21,$121.62,$122.91,13464370
06-11-2015,$96.89,$96.9185,$94.0871,$95.0943,26597215
08-11-2015,$120.01,$123.76,$120.00,$122.74,11560300
09-11-2015,$98.57,$100.85,$97.23,$97.51,17351030
11-11-2015,$113.08,$114.61,$111.41,$112.86,11026990
12-11-2015,$121.45,$123.00,$118.60,$118.91,16071210
06-12-2015,$94.9157,$95.3428,$94.1243,$94.4185,10267757
08-12-2015,$121.47,$122.45,$118.66,$120.51,13825250
10-12-2015,$114.45,$115.42,$112.36,$113.45,12602390
11-12-2015,$112.52,$115.25,$108.20,$108.92,17518680
02-01-2016,$91.79,$97.18,$91.30,$94.09,19650570
03-01-2016,$94.58,$99.16,$93.61,$98.30,17011470
04-01-2016,$102.93,$105.79,$102.47,$105.70,14171930
06-01-2016,$101.50,$101.92,$100.16,$101.51,8387248
07-01-2016,$95.00,$97.00,$94.80,$96.67,16157650
08-01-2016,$91.23,$94.67,$90.50,$94.37,10656290
09-01-2016,$97.81,$97.98,$96.916,$97.38,4146339
11-01-2016,$124.98,$125.83,$121.80,$123.30,6967960
12-01-2016,$117.52,$118.68,$113.95,$117.22,8632991
02-02-2016,$95.54,$96.65,$90.73,$91.49,21891050
03-02-2016,$98.01,$99.48,$95.90,$97.61,19094740
05-02-2016,$90.41,$93.22,$89.8901,$93.11,12532080
06-02-2016,$101.39,$102.15,$100.77,$101.25,7984791
08-02-2016,$94.00,$94.08,$92.18,$93.56,9815363
09-02-2016,$97.90,$98.18,$97.01,$97.38,4244858
11-02-2016,$122.83,$124.07,$121.83,$122.34,4781816
12-02-2016,$116.75,$120.98,$116.75,$120.81,8937134
02-03-2016,$92.41,$92.69,$86.14,$90.74,27444120
03-03-2016,$97.83,$98.35,$95.39,$97.93,15308950
05-03-2016,$92.08,$93.25,$91.30,$91.54,10585600
06-03-2016,$100.99,$101.00,$98.53,$99.59,9208587
08-03-2016,$93.28,$94.67,$92.55,$93.10,7028459
10-03-2016,$98.00,$103.39,$98.00,$102.63,15329730
11-03-2016,$122.31,$123.72,$121.84,$122.14,5039867
01-04-2016,$109.00,$110.00,$105.21,$109.96,20762780
02-04-2016,$89.50,$91.25,$86.54,$89.71,19091590
03-04-2016,$98.76,$102.22,$98.32,$101.58,23404360
04-04-2016,$105.90,$105.92,$103.20,$104.35,10928410
05-04-2016,$91.00,$92.16,$90.35,$90.79,7378055
08-04-2016,$93.20,$93.7319,$91.82,$93.44,6040820
10-04-2016,$103.19,$104.44,$101.86,$102.34,12126550
11-04-2016,$122.00,$123.43,$121.62,$122.03,4826146
01-05-2016,$110.45,$110.58,$105.85,$107.66,17648620
02-05-2016,$88.23,$88.95,$81.86,$82.79,25902100
04-05-2016,$103.47,$105.75,$103.25,$104.94,10041100
05-05-2016,$90.91,$92.0775,$89.25,$89.37,10360730
07-05-2016,$95.20,$101.27,$93.31,$97.91,25856050
08-05-2016,$93.77,$97.74,$93.56,$97.03,18338910
10-05-2016,$103.50,$106.97,$103.4301,$106.28,12917110
12-05-2016,$120.73,$120.75,$118.40,$119.16,7620560
01-06-2016,$105.29,$117.91,$104.96,$117.68,32852210
04-06-2016,$105.30,$106.44,$104.25,$104.83,9596782
05-06-2016,$88.83,$90.88,$88.11,$90.84,10431350
06-06-2016,$100.29,$101.0712,$99.72,$100.74,6824314
