Date,Open,High,Low,Close/Last,Volume
07-01-2015,$68.12,$68.39,$67.78,$68.07,13963790
09-01-2015,$62.85,$62.85,$60.99,$61.45,23620640
10-01-2015,$61.12,$61.87,$60.54,$61.42,16830010
12-01-2015,$67.34,$67.83,$66.99,$67.61,12671640
07-02-2015,$67.95,$68.13,$67.185,$67.52,12819780
09-02-2015,$62.62,$62.9125,$61.54,$62.57,17725830
10-02-2015,$59.59,$60.86,$58.53,$60.81,20434540
11-02-2015,$64.45,$65.75,$64.39,$65.54,15245500
12-02-2015,$67.83,$67.88,$66.48,$66.66,13407050
08-03-2015,$68.59,$68.84,$68.00,$68.53,9932926
09-03-2015,$62.88,$63.66,$62.45,$62.68,17029950
11-03-2015,$65.29,$66.10,$65.17,$65.78,11518480
12-03-2015,$66.83,$67.03,$65.58,$65.80,14619420
06-04-2015,$66.31,$67.05,$66.01,$66.33,13860270
08-04-2015,$68.47,$68.95,$68.31,$68.46,10948580
09-04-2015,$61.80,$61.92,$60.75,$61.50,20125020
11-04-2015,$66.01,$66.15,$65.63,$65.85,11388190
12-04-2015,$66.10,$67.995,$66.03,$67.89,17785830
06-05-2015,$67.37,$67.84,$67.01,$67.42,20782890
08-05-2015,$69.05,$69.42,$68.56,$68.73,11287250
10-05-2015,$61.24,$62.24,$61.22,$62.02,13456820
11-05-2015,$65.79,$66.67,$65.75,$66.44,12698510
07-06-2015,$66.88,$67.46,$66.54,$67.33,13484420
08-06-2015,$68.75,$68.94,$68.00,$68.25,10769780
10-06-2015,$62.11,$62.36,$61.615,$62.05,12109890
11-06-2015,$68.37,$69.03,$68.10,$68.46,23247740
07-07-2015,$67.09,$67.22,$65.30,$66.80,22418220
08-07-2015,$68.33,$68.74,$67.55,$68.05,11452960
10-07-2015,$62.55,$63.03,$61.755,$62.13,12791970
12-07-2015,$67.66,$67.75,$66.40,$67.00,11639230
06-08-2015,$67.46,$67.55,$66.81,$66.89,14557460
07-08-2015,$66.00,$66.16,$65.205,$65.43,17705620
09-08-2015,$62.77,$63.20,$62.33,$63.16,13368240
10-08-2015,$61.85,$62.25,$61.43,$62.13,13939530
12-08-2015,$66.25,$66.96,$65.70,$65.96,13083180
06-09-2015,$66.95,$67.27,$66.47,$67.18,13198780
07-09-2015,$66.49,$66.7034,$65.99,$66.11,14977960
09-09-2015,$63.94,$64.34,$62.00,$62.18,13846800
10-09-2015,$62.39,$62.545,$61.575,$61.93,12099470
11-09-2015,$68.70,$68.72,$67.08,$67.39,17130140
12-09-2015,$65.61,$66.585,$65.04,$65.46,16757020
06-10-2015,$67.59,$68.495,$67.47,$68.26,17448460
07-10-2015,$67.22,$67.40,$66.825,$67.05,12352230
08-10-2015,$68.22,$69.005,$68.22,$68.89,12565200
09-10-2015,$61.86,$62.995,$61.45,$62.66,15691160
11-10-2015,$67.19,$67.85,$66.93,$67.68,13224310
12-10-2015,$65.54,$66.495,$65.08,$65.61,12812510
06-11-2015,$68.36,$68.68,$68.15,$68.52,13737560
08-11-2015,$68.23,$68.40,$67.85,$68.23,14766400
09-11-2015,$62.38,$62.66,$61.986,$62.56,12749170
11-11-2015,$68.10,$68.17,$67.25,$67.35,8496162
12-11-2015,$64.80,$65.16,$63.5102,$64.07,17862540
06-12-2015,$68.31,$68.54,$67.87,$68.25,11783700
08-12-2015,$67.41,$67.55,$66.07,$67.24,21087230
10-12-2015,$61.84,$62.01,$61.399,$61.72,10840190
11-12-2015,$66.86,$66.90,$65.95,$66.00,13446240
02-01-2016,$59.16,$59.65,$58.44,$58.86,16771680
03-01-2016,$56.76,$59.20,$56.67,$59.20,23948070
04-01-2016,$59.02,$60.06,$58.56,$59.87,15417430
06-01-2016,$64.76,$65.92,$64.26,$65.69,13975410
07-01-2016,$61.52,$62.0115,$61.16,$61.26,14194350
08-01-2016,$64.15,$64.31,$63.61,$63.80,11421800
